Identifiant	Longitude	Latitude	Numéro National de Structure	Domaines	Adresse	Code postal	Ville	Site web
Laboratoire des Sciences du Climat et de l'Environnement UMR 8212	2.132	48.705	200611689J	Sciences de la terre et de l'univers, espace	Avenue de la Terrasse, 91198 Gif-sur-yvette	91190	GIF SUR YVETTE	http://www.lsce.ipsl.fr/
Laboratoire d'Informatique de Paris-Nord	2.338	48.957	200112433P	Sciences et technologies de l'information et de la communication	99 Av Jean Baptiste Clément, 93430 Villetaneuse	93430	VILLETANEUSE	https://lipn.univ-paris13.fr/
Laboratoire inter-universitaire des systemes atmospheriques	2.442	48.789	199412629H	Physique, Sciences de la terre et de l'univers, espace, Chimie	61 Av du général de Gaulle Batiment P, 94010 Créteil	94000	CRETEIL	http://www.lisa.univ-paris12.fr/
Laboratoire des Systemes et Applications des Technologies de l'Information et de l'Energie	2.326	48.789	200212702C	Sciences pour l'ingenieur, Sciences et technologies de l'information et de la communication	61 Avenue du President Wilson, 94235 Cachan	94230	CACHAN	http://www.satie.ens-cachan.fr
Laboratoire de mathematiques d'Orsay	2.179	48.699	199812953T	Mathematiques et leurs interactions	15 Rue Georges Clemenceau, 91405 Orsay	91400	ORSAY	http://www.math.u-psud.fr
Institut d'astrophysique spatiale	2.192	48.697	199812942F		Bâtiments 120 – 121 Université Paris Sud, 91405 Orsay	91400	ORSAY	http://www.ias.u-psud.fr
Astrophysique, Interpretation, Modelisation	2.148	48.730	200919203N	Physique	4 place Jussieu, 75005 Paris	91190	GIF SUR YVETTE	
Centre de physique theorique	2.232	48.718	199719343T	Physique	Route de Saclay, 91128 Palaiseau	91120	PALAISEAU	http://www.cpht.polytechnique.fr
Virologie	2.422	48.813	200117955S	Sciences agronomiques et ecologiques	7 avenue du General de Gaulle, 94704 Maisons-alfort	94700	MAISONS-ALFORT	https://www.vet-alfort.fr/enva-recherche/unites-de-recherche/maladies-animales-zoonoses-et-risques-infectieux/virologie#pr%C3%A9sentation
INSTITUT DE SCIENCES SOCIALES DU POLITIQUE	2.211	48.906	200612818L	Sciences humaines et humanites, Sciences de la societe	200 Avenue de la Republique, 92001 Nanterre	92000	NANTERRE	http://isp.cnrs.fr/
